TIPO,DEPARTAMENTO,MUNICIPIO,CODIGO MUNICIPIO,AÑO,TAMAÑO FINCA,TOTAL FINCAS
FINCA BOVINO,AMAZONAS,EL ENCANTO,91263,2018,1 A 50 BOV,4
FINCA BOVINO,AMAZONAS,EL ENCANTO,91263,2018,101 A 500 BOV,4
FINCA BOVINO,AMAZONAS,LETICIA,91001,2018,1 A 50 BOV,35
FINCA BOVINO,AMAZONAS,LETICIA,91001,2018,101 A 500 BOV,35
FINCA BOVINO,AMAZONAS,LETICIA,91001,2018,51 A 100 BOV,1
FINCA BOVINO,AMAZONAS,PUERTO ALEGRIA,91530,2018,1 A 50 BOV,15
FINCA BOVINO,AMAZONAS,PUERTO ALEGRIA,91530,2018,101 A 500 BOV,15
FINCA BOVINO,AMAZONAS,PUERTO NARIÑO,91540,2018,1 A 50 BOV,13
FINCA BOVINO,AMAZONAS,PUERTO NARIÑO,91540,2018,101 A 500 BOV,13
FINCA BOVINO,ANTIOQUIA,ABEJORRAL,5002,2018,1 A 50 BOV,1141
FINCA BOVINO,ANTIOQUIA,ABEJORRAL,5002,2018,101 A 500 BOV,1141
FINCA BOVINO,ANTIOQUIA,ABEJORRAL,5002,2018,51 A 100 BOV,74
FINCA BOVINO,ANTIOQUIA,ABRIAQUI,5004,2018,1 A 50 BOV,257
FINCA BOVINO,ANTIOQUIA,ABRIAQUI,5004,2018,101 A 500 BOV,257
FINCA BOVINO,ANTIOQUIA,ABRIAQUI,5004,2018,51 A 100 BOV,33
FINCA BOVINO,ANTIOQUIA,ALEJANDRIA,5021,2018,1 A 50 BOV,225
FINCA BOVINO,ANTIOQUIA,ALEJANDRIA,5021,2018,101 A 500 BOV,225
FINCA BOVINO,ANTIOQUIA,ALEJANDRIA,5021,2018,51 A 100 BOV,6
FINCA BOVINO,ANTIOQUIA,AMAGA,5030,2018,1 A 50 BOV,230
FINCA BOVINO,ANTIOQUIA,AMAGA,5030,2018,101 A 500 BOV,230
FINCA BOVINO,ANTIOQUIA,AMAGA,5030,2018,51 A 100 BOV,11
FINCA BOVINO,ANTIOQUIA,AMALFI,5031,2018,1 A 50 BOV,582
FINCA BOVINO,ANTIOQUIA,AMALFI,5031,2018,101 A 500 BOV,582
FINCA BOVINO,ANTIOQUIA,AMALFI,5031,2018,501 O MAS BOV,6
FINCA BOVINO,ANTIOQUIA,AMALFI,5031,2018,51 A 100 BOV,88
FINCA BOVINO,ANTIOQUIA,ANDES,5034,2018,1 A 50 BOV,208
FINCA BOVINO,ANTIOQUIA,ANDES,5034,2018,101 A 500 BOV,208
FINCA BOVINO,ANTIOQUIA,ANDES,5034,2018,501 O MAS BOV,1
FINCA BOVINO,ANTIOQUIA,ANDES,5034,2018,51 A 100 BOV,21
FINCA BOVINO,ANTIOQUIA,ANGELOPOLIS,5036,2018,1 A 50 BOV,99
FINCA BOVINO,ANTIOQUIA,ANGELOPOLIS,5036,2018,101 A 500 BOV,99
FINCA BOVINO,ANTIOQUIA,ANGELOPOLIS,5036,2018,51 A 100 BOV,8
FINCA BOVINO,ANTIOQUIA,ANGOSTURA,5038,2018,1 A 50 BOV,496
FINCA BOVINO,ANTIOQUIA,ANGOSTURA,5038,2018,101 A 500 BOV,496
FINCA BOVINO,ANTIOQUIA,ANGOSTURA,5038,2018,51 A 100 BOV,42
FINCA BOVINO,ANTIOQUIA,ANORI,5040,2018,1 A 50 BOV,650
FINCA BOVINO,ANTIOQUIA,ANORI,5040,2018,101 A 500 BOV,650
FINCA BOVINO,ANTIOQUIA,ANORI,5040,2018,51 A 100 BOV,142
FINCA BOVINO,ANTIOQUIA,ANZA,5044,2018,1 A 50 BOV,182
FINCA BOVINO,ANTIOQUIA,ANZA,5044,2018,101 A 500 BOV,182
FINCA BOVINO,ANTIOQUIA,ANZA,5044,2018,501 O MAS BOV,1
FINCA BOVINO,ANTIOQUIA,ANZA,5044,2018,51 A 100 BOV,16
FINCA BOVINO,ANTIOQUIA,APARTADO,5045,2018,1 A 50 BOV,394
FINCA BOVINO,ANTIOQUIA,APARTADO,5045,2018,101 A 500 BOV,394
FINCA BOVINO,ANTIOQUIA,APARTADO,5045,2018,501 O MAS BOV,2
FINCA BOVINO,ANTIOQUIA,APARTADO,5045,2018,51 A 100 BOV,45
FINCA BOVINO,ANTIOQUIA,ARBOLETES,5051,2018,1 A 50 BOV,610
FINCA BOVINO,ANTIOQUIA,ARBOLETES,5051,2018,101 A 500 BOV,610
FINCA BOVINO,ANTIOQUIA,ARBOLETES,5051,2018,501 O MAS BOV,32
FINCA BOVINO,ANTIOQUIA,ARBOLETES,5051,2018,51 A 100 BOV,117
FINCA BOVINO,ANTIOQUIA,ARGELIA,5055,2018,1 A 50 BOV,463
FINCA BOVINO,ANTIOQUIA,ARGELIA,5055,2018,101 A 500 BOV,463
FINCA BOVINO,ANTIOQUIA,ARGELIA,5055,2018,51 A 100 BOV,22
FINCA BOVINO,ANTIOQUIA,ARMENIA,5059,2018,1 A 50 BOV,77
FINCA BOVINO,ANTIOQUIA,ARMENIA,5059,2018,101 A 500 BOV,77
FINCA BOVINO,ANTIOQUIA,ARMENIA,5059,2018,501 O MAS BOV,4
FINCA BOVINO,ANTIOQUIA,ARMENIA,5059,2018,51 A 100 BOV,14
FINCA BOVINO,ANTIOQUIA,BARBOSA,5079,2018,1 A 50 BOV,679
FINCA BOVINO,ANTIOQUIA,BARBOSA,5079,2018,101 A 500 BOV,679
FINCA BOVINO,ANTIOQUIA,BARBOSA,5079,2018,501 O MAS BOV,1
FINCA BOVINO,ANTIOQUIA,BARBOSA,5079,2018,51 A 100 BOV,55
FINCA BOVINO,ANTIOQUIA,BELLO,5088,2018,1 A 50 BOV,374
FINCA BOVINO,ANTIOQUIA,BELLO,5088,2018,101 A 500 BOV,374
FINCA BOVINO,ANTIOQUIA,BELLO,5088,2018,51 A 100 BOV,64
FINCA BOVINO,ANTIOQUIA,BELMIRA,5086,2018,1 A 50 BOV,613
FINCA BOVINO,ANTIOQUIA,BELMIRA,5086,2018,101 A 500 BOV,613
FINCA BOVINO,ANTIOQUIA,BELMIRA,5086,2018,501 O MAS BOV,2
FINCA BOVINO,ANTIOQUIA,BELMIRA,5086,2018,51 A 100 BOV,140
FINCA BOVINO,ANTIOQUIA,BETANIA,5091,2018,1 A 50 BOV,71
FINCA BOVINO,ANTIOQUIA,BETANIA,5091,2018,101 A 500 BOV,71
FINCA BOVINO,ANTIOQUIA,BETANIA,5091,2018,51 A 100 BOV,2
FINCA BOVINO,ANTIOQUIA,BETULIA,5093,2018,1 A 50 BOV,63
FINCA BOVINO,ANTIOQUIA,BETULIA,5093,2018,101 A 500 BOV,63
FINCA BOVINO,ANTIOQUIA,BETULIA,5093,2018,501 O MAS BOV,1
FINCA BOVINO,ANTIOQUIA,BETULIA,5093,2018,51 A 100 BOV,14
FINCA BOVINO,ANTIOQUIA,BRICEÑO,5107,2018,1 A 50 BOV,345
FINCA BOVINO,ANTIOQUIA,BRICEÑO,5107,2018,101 A 500 BOV,345
FINCA BOVINO,ANTIOQUIA,BRICEÑO,5107,2018,51 A 100 BOV,58
FINCA BOVINO,ANTIOQUIA,BURITICA,5113,2018,1 A 50 BOV,165
FINCA BOVINO,ANTIOQUIA,BURITICA,5113,2018,101 A 500 BOV,165
FINCA BOVINO,ANTIOQUIA,BURITICA,5113,2018,51 A 100 BOV,15
FINCA BOVINO,ANTIOQUIA,CACERES,5120,2018,1 A 50 BOV,314
FINCA BOVINO,ANTIOQUIA,CACERES,5120,2018,101 A 500 BOV,314
FINCA BOVINO,ANTIOQUIA,CACERES,5120,2018,501 O MAS BOV,52
FINCA BOVINO,ANTIOQUIA,CACERES,5120,2018,51 A 100 BOV,45
FINCA BOVINO,ANTIOQUIA,CAICEDO,5125,2018,1 A 50 BOV,248
FINCA BOVINO,ANTIOQUIA,CAICEDO,5125,2018,101 A 500 BOV,248
FINCA BOVINO,ANTIOQUIA,CAICEDO,5125,2018,51 A 100 BOV,16
FINCA BOVINO,ANTIOQUIA,CALDAS,5129,2018,1 A 50 BOV,181
FINCA BOVINO,ANTIOQUIA,CALDAS,5129,2018,101 A 500 BOV,181
FINCA BOVINO,ANTIOQUIA,CALDAS,5129,2018,51 A 100 BOV,10
FINCA BOVINO,ANTIOQUIA,CAMPAMENTO,5134,2018,1 A 50 BOV,356
FINCA BOVINO,ANTIOQUIA,CAMPAMENTO,5134,2018,101 A 500 BOV,356
FINCA BOVINO,ANTIOQUIA,CAMPAMENTO,5134,2018,51 A 100 BOV,21
FINCA BOVINO,ANTIOQUIA,CARACOLI,5142,2018,1 A 50 BOV,129
FINCA BOVINO,ANTIOQUIA,CARACOLI,5142,2018,101 A 500 BOV,129
FINCA BOVINO,ANTIOQUIA,CARACOLI,5142,2018,501 O MAS BOV,1
FINCA BOVINO,ANTIOQUIA,CARACOLI,5142,2018,51 A 100 BOV,49
FINCA BOVINO,ANTIOQUIA,CARAMANTA,5145,2018,1 A 50 BOV,146
FINCA BOVINO,ANTIOQUIA,CARAMANTA,5145,2018,101 A 500 BOV,146
FINCA BOVINO,ANTIOQUIA,CARAMANTA,5145,2018,501 O MAS BOV,1
FINCA BOVINO,ANTIOQUIA,CARAMANTA,5145,2018,51 A 100 BOV,12
FINCA BOVINO,ANTIOQUIA,CAREPA,5147,2018,1 A 50 BOV,304
FINCA BOVINO,ANTIOQUIA,CAREPA,5147,2018,101 A 500 BOV,304
FINCA BOVINO,ANTIOQUIA,CAREPA,5147,2018,501 O MAS BOV,5
FINCA BOVINO,ANTIOQUIA,CAREPA,5147,2018,51 A 100 BOV,83
FINCA BOVINO,ANTIOQUIA,CAROLINA,5150,2018,1 A 50 BOV,167
FINCA BOVINO,ANTIOQUIA,CAROLINA,5150,2018,101 A 500 BOV,167
FINCA BOVINO,ANTIOQUIA,CAROLINA,5150,2018,51 A 100 BOV,13
FINCA BOVINO,ANTIOQUIA,CAUCASIA,5154,2018,1 A 50 BOV,398
